Puzzle,Solution,
.6.....1.3.......5471...3982...8...914.5.9.62.3.....4.....5.......7.8....2.1.3.8.,568397214392814675471265398256481739147539862839672541784956123913728456625143987,
.2......46...5.....8.6.31....3.27..99.......6..8.16..3.5.3.94..1...8.....4......2,521798634634251798789643125463527819915834276278916543852379461196482357347165982,
48.36...9..5..73.8.7..2..4..4......22.1...5.45......6..1..9..8.8.41..6..9...84.13,482361759165947328379825146647519832291638574538472961713296485824153697956784213,
2.5...7.96..9.7..4...8...3..7.....638...3...536.....7..1...5...4..3.1..79.8...5.6,245163789683927154197854632574219863821736495369548271712695348456381927938472516,
...3.7.2.3....49...4..5....76.4.5..9..2...4..5..7.9.81....7..9...32....5.5.6.3...,819367524325184976647952813768415239192836457534729681486571392973248165251693748,
....1.62...23.6.9..9.7..34....25.4...8.....7...4.97....51..8.3..6.4.51...27.3....,348519627712346895596782341679253418285164973134897256451628739963475182827931564,
.5....68.2..3.6..44..51.....3....96...9.5.1...75....4.....23..69..1.8..3.28....1.,753294681291386754486517392832471965649852137175639248514923876967148523328765419,
7.84.....4..6.7........3..88.3.9.2..16.....54..2.6.3.12..7........2.6..5.....56.7,738459162421687539695123748843591276169372854572864391256748913917236485384915627,
.8...9..37.....4....9.84.1.....5....25.9.3.48....4.....3.81.2....4.....59..4...3.,482179563715632489369584712843751926257963148691248357536817294124396875978425631,
...9..7.2..9.......48.253..5....2.7..8.3....53....7.6..21.589....3.........1..8.7,165934782239871546748625319596482173487316295312597468621758934873249651954163827,
.64.........2.7..623.64......5....627.2...53...1....8747.86.......3.4..1.16......,964185723158237496237649815395478162782916534641523987473861259829354671516792348,
...658....2.....4.63.....894...1...736.5.7.28..2...3.....1.6.....4...9...7..8..1.,947658132128739546635421789489312657361597428752864391293146875814275963576983214,
.43..1...1.....3.2.5.2.4....1.....96....6948..6.....23.2.3.7...7.....8.9.94..6...,243981675189675342657234918418723596372569481965148723826397154731452869594816237,
.9.....1..16.9.78.8.3...9.2...5.9.......4.....5.683.9...8...4.....3.7.....2.1.5..,294738615516492783873156942321579864689241357457683291138925476945367128762814539,
36.....89..2.8.7.....954...7.......3...1.3....3.....6..9..1..7...87956....6...2..,365271489942386715187954326724869153659123847831547962493612578218795634576438291,
..58....2.2.9..34.....2.....8..4.1...63..8....7..1.2......9.....3.5..86...46....1,945837612827961345316425987582749136163258794479316258658192473231574869794683521,
687...1.2..1.7...94....6.37..6.8.....3.7.5.8.....3.7..76.5....38...1.6..5.3...978,687953142321874569495126837176289354934765281258431796762598413849317625513642978,
.........7.......2..17.48....91.76...8.2.3.9.1..6.8..49.4...2.6.7..3..4.3..4.1..5,895312467746589312231764859429157683687243591153698724914875236572936148368421975,
..72...3.5....79...2..9...7.8.7.5..6..3...8..6..8.3.1.1...4..8...96....1.3...24..,947256138561387942328491567284715396713964825695823714172549683459638271836172459,
36..4......8..5..65...8.2.......37...2.71..8......89..1...5.4....3..1..598..6....,362147859498235176517986234851693742629714583734528961176359428243871695985462317,
59....68....9..7..3..61....1......9..3.42..7.6......5.2..56.......8..5..96....32.,597243681416958732328617945154786293839425176672391854283569417741832569965174328,
..87..21.2.6.4....7...5..36...3.4..7.45...69.9..6.5...82..3...5....2.3.1.57..69..,598763214236841579714952836682394157145278693973615428821439765469527381357186942,
...4......7....62.28.6..51.....3.2.5.1..4..3.6.5.9.....58..2.63.21....9......3...,596421387174358629283679514849136275712845936635297841958712463321564798467983152,
.7........4856..21..671.83....3.428..53...91..821.6....15.874..89..3157........6.,371428659948563721526719834169354287453872916782196345615287493894631572237945168,
.1.693.....8....3...9......4..9.5..63.1..7.429..2.4..8..4........3....5..6.452...,215693487748521639639748125482915376351867942976234518524389761893176254167452893,
...84..6.4719.6.8......3.9..28....565...9...216....87..5.1......3.2.5918.1..69...,395847261471926385286513794928731456547698132163452879759184623634275918812369547,
8.....3..9....3....6.8..972..2..8...6.3.9.2.8...6..1..758..4.9....5....1..1.....4,827469315915723486364851972142378569673195248589642137758214693496537821231986754,
8.4..2....3...46...1..8...7..21....6....75.9...32....1.9..2...5.7...81..4.6..1...,864732519537914682219586437982143756641875293753269841198427365375698124426351978,
7.9...3.6...8.3......976.....67.18..9.......25.......3.6.1.7.9.1..2.8..7.75.3.68.,789514326651823479432976158326791845918345762547682913863157294194268537275439681,
...5..16.9....3...1..78.....2..5.7.4..42.65..5.9.4..2.....61..9...3....6.73..5...,438529167957613842162784935326958714714236598589147623245861379891372456673495281,
9...54......7..356....2.....3...791.6...9...5.4...862.....3.......4..5828...62...,968354271412789356573126894235647918681293745749518623127835469396471582854962137,
8.43.12.7..2...5..3.......49...4...1.7.....2.2...1...57..1.9..2..17623...........,854391267612874593397526184935248671176935428248617935763159842481762359529483716,
..79....12...8..95..9...83.9....76...48..9.5.5....49....5...34.4...3..19..34....6,387925461214683795659741832931857624748269153562314978825196347476538219193472586,
9..7...5845.3...6...6.459....4....12..5.6.3..13....7....867.1...6...9.3534...2..7,913726458457398261826145973684937512275861349139254786598673124762419835341582697,
..5.63...3..52.....2...7.9..48.1.9........8.6.13.5.7...8...1.5.7..23......2.94...,895163247374529168126487593248716935957342816613958724489671352761235489532894671,
78.5....1..3...2.7.2.9...6....7.96.2....3....2.61.4....3...8.2.8.5...4..1....5.73,789562341563841297421973568314759682978236154256184739637418925895327416142695873,
..5.1.7...1.2.7.4.2.......6.3.169.8.9..4.2..3.2.573.9.4.......9.9.6.8.3...2.9.5..,345916728816237945279845316534169287967482153128573694453721869791658432682394571,
91..5.......2.3........943812....5.3....87...76....8.1.....6189...7.1...59..4....,913458726684273915257619438128964573345187692769325841472536189836791254591842367,
1..........59.1.3.2...6...16.2.958...3.....1...743.6.59...2...6.5.8.63..........8,178253964465981237293764581642195873539678412817432695984327156751846329326519748,
6..15.3...5...7......9.3..14.6.......23...84.......7.92..4.1......8...3...8.69..4,689154327351627498742983651476598213923716845815342769297431586164875932538269174,
.5....6....7..6..3.1..2..97...1.8..6....3..8....4.7..1.2..1..48..8..5..2.6....9..,953871624247956813816324597432198756671532489589467231725619348398745162164283975,
..47.69.....1.4.......3........6....6.93.81.42.5...6.39.2...5.7.5.....9.3.6.9.2.1,124786935593124876867935412438261759679358124215479683942813567751642398386597241,
31....2.8...5..9.189..72.....2.1..4...79.63...3..4.6.....69..544.9..1...7.8....96,315469278274538961896172435682713549547986312931245687123697854469851723758324196,
.1..5.82.7.2..64.398...3.7..28......6.......5......98..6.4...512.51..7.4.47.2..3.,316754829752986413984213576428395167691872345573641982869437251235168794147529638,
9..6.........7.92..78...3.6.8.7...9..4..5..1..2...6.7.6.3...78..94.1.........7..1,935682147461573928278491356186724593347859612529136874613245789794318265852967431,
...8.61...5...9.3.1.7..28..928.....4.........5.....629..46..9.2.6.9...1...97.4...,432876195856419237197532846928167354643295781571348629384651972765923418219784563,
.8...53...29..1.766.3..281.394..........7..........985.415..6.896.4..75...81...4.,187645392429831576653792814394258167815976423276314985741529638962483751538167249,
........2..4.3..1.5...48.9362.....8....5.39..95.....7.3...71.28..5.8..4.........9,138967452794235816562148793621794385487523961953816274349671528215389647876452139,
...4.3.....7...43...2..7.5.6..7....8.5...432.8..2....5..4..5.8...5...71....3.8...,598413267167582439432967851623751948751894326849236175974125683385649712216378594,
...653.1.7..........9.2.3..1..3.5..82.8.9.4.66..8.2..1..5.3.6..........9.2.584...,482653917763419285519728364194365728258197436637842591875931642341276859926584173,
..7...15.8.39..4..61.....32...4.6.1.....7.....8.2.5...24.....83..1..82.7.58...6..,497623158823951476615784932572436819164879325389215764246197583931568247758342691,
.3..5..1.1.......55...1...636.271.54...5.9...9..4.6..2..1...3..4.......8.56...72.,632958417187643295549712836368271954214589673975436182721865349493127568856394721,
..1..26...9..57.1.5..1....242..1.7...3.6.8.5...6.2..818....4..3.4.36..2...39..5..,381492675692857314574136892428519736137648259956723481815274963749365128263981547,
4...3...1..15498.....1.6.....9...5...75...61...2.8.3...2..6..9...4...1....62547..,457832961261549873983176254349617582875423619612985347728361495534798126196254738,
....6...5.3..8.7.9..8.....63....4..7.9.6.2.4.1..5....82.....5..6.1.4..3.9...2....,419267385536481729728359416362814957895672143147593268284736591671945832953128674,
...2.8.....1...4...6.3.4.2...4...5...3.6.7.4..2.....3...5...2...1..4..8.3..7.2..9,453298617281576493967314825174839562538627941629451738895163274712945386346782159,
.3....7...1.....9..9.854...9..62.1....6.3.9....3.47..5...712.8..4.....6...1....3.,438291756512376894697854312954628173276135948183947625365712489749583261821469537,
38.2....6.2.5...93..9...8.....8.3.65....6....56.4.1.....8...6..94...6.2.6....8.47,385219476426587193179634852214893765893765214567421389758942631941376528632158947,
..56.1.3.4...9.1...1...7..88.91.3..5.5.....8.7..8.53.13..2...1...6.1...9.8.9.62..,975681432438592167612437958869143725153729684724865391397254816246318579581976243,
..3...1..14..8..73....6....3.9...4.2.7.4.8.6....5.2...85.3.1.49....2.....3.8.6.1.,523749186146285973798163524389617452275498361461532798852371649617924835934856217,
...62.4..6..7..81....8.9.6........4.29.....53.3........6.9.1....51..6..8..2.75...,819623475623754819745819362576398241298147653134562987367981524451236798982475136,
6......49....24...3..5.87...54........1.83.2..63......4..1.79......32...7......63,685371249197624538342598716854216397971483625263759481438167952516932874729845163,
4..975..2.........6.5...9.7.4..3..2....291.....2.6.1...17.4.89..5.8.7.4...4...7..,431975682798126354625483917149738526563291478872564139317642895956817243284359761,
..78.32....65.93...8.....5...1...7...2.....6....278.....2.4.8...4.6.7.9.93.....76,597863214416529387283714659851496723724351968369278145672945831148637592935182476,
...8.3...13....79.2....6....59..4.6...4.8.3...17..9.2.5....1...94....65....5.8...,496873215138452796275916483359724861624185379817369524582641937941237658763598142,
.2.1.4...8...........2..35.28.3...9..71.4.26.69.8...1....7..18.1.........6.5.8...,523194876817653942946287351285361794371945268694872513439726185158439627762518439,
.9..1.6....724.5.114.6...7.......71.78..3..25.31.......5...4.866.9.824....8.6..9.,295713648867249531143658279524896713786431925931527864352974186619382457478165392,
1.......5..21.93..9.......6.3.4.2.7..9.7.8.6.4...6...3....9.....27.4.69.5.......7,184376925762159348953284716638412579295738164471965283316897452827543691549621837,
.8.....4...6.7.3..5..1.4..8..4...9......2.......3.9...65.....13.27...65..1..3..9.,781263549946578321532194768164857932893426175275319486659742813327981654418635297,
8..3....2..2.6......4.8715...17.8..9.53...68.9..6.43...3984.2......2.7..2....1..3,865319472172465938394287156621738549453192687987654321739846215518923764246571893,
5..9.1..6.........12.....494.97.65.3...4.3.....61.54...4.....7..51.4.39.6.......4,574931286968274135123568749489726513215483967736195428342859671851647392697312854,
2....7..6.1...64....5...18....42....3..8.9..4....51....72...9....13...5.5..9....2,284137596719586423635294187196423875357869214428751369872645931941372658563918742,
...2.....3.5....2.4.....3515.7.3214..2...9...9.3.1527.1.....7838.4....6....3.....,718253694395164827462987351587632149621749538943815276159426783834571962276398415,
